PF00183B,HDPE MALE ADOPTER 63MM,4,702,PC,0,G2,PIPESAND FITTINGS\
PF00183C,HDPE MALE TEE 50MM,0,1896,PC,0,G2,PIPESAND FITTINGS\
PF00183D,HDPE  REDUCER TEE 63MM X 50MM,0,2190,PC,0,G2,PIPESAND FITTINGS\
PF000183E,HDPE COUPLING 50MM,6,990,PC,0,G2,PIPESAND FITTINGS\
PF00183F,HDPE COUPLING 63MM,0,1150,PC,0,G2,PIPESAND FITTINGS\
PF00183G,HDPE COUPLING 90MM,6,334.5,PC,0,G2,PIPESAND FITTINGS\
PF00183H1,HDPE SADDLE CLAMP 50MM X 32MM,12,220,PC,0,B3,PIPESAND FITTINGS\
PF00183H2,HDP SADDLE CLAMP 63MM X 32,14,315,PC,3,B3,PIPESAND FITTINGS\
PF00183I,HDP SADDLE CLAMP 90MM X 32,4,1100,PC,3,B3,PIPESAND FITTINGS\
PF00183J,HDP SADDLE CLAMP 110MM X 63,5,565,PC,3,B3,PIPESAND FITTINGS\
PF00183K,HDP SADDLE CLAMP160MM X 63,6,1875,PC,3,B3,PIPESAND FITTINGS\
PF00183L,HDP SADDLE CLAMP225MM X63,5,5220,PC,3,B3,PIPESAND FITTINGS\
PF00184,HOSECLIP 1/2,1,25,PC,1,B3,PIPESAND FITTINGS\
PF00185A,HOSE PIPE 2,0,0,MTR,0,L5,PIPESAND FITTINGS\
PF00185B,HOSE PIPE 21/2,0,0,ROLL,0,,PIPESAND FITTINGS\
PF00186,HOSE TAIL ADAPTOR -STAINLESS STEEL,2,2500,PC,2,F1,PIPESAND FITTINGS\
PF00187,JUBILEE CLIPS 1.25  11/4,0,0,PC,0,B3,PIPESAND FITTINGS\
PF00188,JUBILEE CLIPS 2,0,0,PC,0,B3,PIPESAND FITTINGS\
PF00189,JOINT SEALANT  SIKAFLEX,0,0,PC,0,B6,PIPESAND FITTINGS\
PF00190,JUBILEE CLIP 6,8,18,PC,0,B3,PIPESAND FITTINGS\
PF00191,JUBILEE  TEE PVC 4",5,287,PC,0,C4,PIPESAND FITTINGS\
PF00192,KSB MOTOR FUNNEL,4,0,PC,0,E6,PIPESAND FITTINGS\
PF00193,KSB MOTOR PUMP 150 - 75,0,0,PC,0,BOX M,PIPESAND FITTINGS\
PF00194,KSB MOTOR PUMP  REPAIR KIT 1 - 104- 616683 PART 13 - 6,5,0,PC,0,BOX E,PIPESAND FITTINGS\
