STOCK  WORKSHEET AS AT  2022-05-13
ITEM NO , CODE ,  ITEM  , UNITS , CATEGORY , LOCATION , QUANTITY , UNIT PRICE , VALUE , PHYSICAL COUNT ,  DIFFERENCE , REMARKS
127,MC0099,OIL PUMP ASSY,PC,MOTOR CYCLE SPARES,L3,0,"12,955.80",0.00
128,MC00100,O - RING  - 93210 -180- A6,PC,MOTOR CYCLE SPARES,L3,4,50.00,200.00
129,MC00101,O - RING 9321021190  DIP STICK,PC,MOTOR CYCLE SPARES,L3,0,89.09,0.00
130,MC00102,OIL - SEAL 93101 - 12060,PC,MOTOR CYCLE SPARES,L3,5,43.00,215.00
131,MC00103,OIL SEAL 93101 - 17060,PC,MOTOR CYCLE SPARES,L3,0,0.00,0.00
132,MC00104,OIL SEAL 93102 - 26042,PC,MOTOR CYCLE SPARES,L3,0,336.40,0.00
133,MC00105,OIL - SEAL 93102 - 25061,PC,MOTOR CYCLE SPARES,L3,0,50.00,0.00
134,MC00105,OIL - SEAL 93102 - 25061,PC,MOTOR CYCLE SPARES,L3,0,0.00,0.00
135,MC00107,OIL - SEAL 93103 - 281011,PC,MOTOR CYCLE SPARES,L3,1,356.89,356.89
136,MC00108,OIL - SEAL 93104 - 14059,PC,MOTOR CYCLE SPARES,L3,8,120.00,960.00
137,MC00109,OIL - SEAL 93106 - 26005,PC,MOTOR CYCLE SPARES,L3,2,59.00,118.00
138,MC00110,OIL - SEAL 93110 - 35019  FRONT FOLK,PC,MOTOR CYCLE SPARES,L3,7,678.60,"4,750.20"
139,MC00111,OIL SEAL 1T3 - 23145 - 00,PC,MOTOR CYCLE SPARES,L3,0,99.00,0.00
140,MC00112,OIL SEAL  DT 125 ENGINE KIT,PC,MOTOR CYCLE SPARES,L3,4,50.00,200.00
141,MC00113A,PEDAL BRAKE  YAMAHA CRUX,PC,MOTOR CYCLE SPARES,L3,1,"1,707.98","1,707.98"
142,MC0113B,PLATE FRICTION 5VLE6 YBR,PC,MOTOR CYCLE SPARES,L3,0,563.32,0.00
143,MC00114A,PLIERS,PC,MOTOR CYCLE SPARES,L3,0,200.00,0.00
144,MC00114B,PIN 2T - 526,PC,MOTOR CYCLE SPARES,L3,0,75.02,0.00
145,MC00114C,PLUG OIL LEVEL 18G 15,PC,MOTOR CYCLE SPARES,L3,0,384.25,0.00
146,MC00115A,PISTON 1310Y-KYY-900 HONDA,PC,MOTOR CYCLE SPARES,L3,0,"1,450.00",0.00
147,MC00115B,PISTON 18L - 11630 -00 DT175,PC,MOTOR CYCLE SPARES,L3,0,"2,200.00",0.00
148,MC00116,PISTON 18G - 11636 - 00,PC,MOTOR CYCLE SPARES,L3,0,"5,834.80",0.00
149,MC00117,PISTON 18G - 11636 - 01,PC,MOTOR CYCLE SPARES,L3,1,"4,992.00","4,992.00"
150,MC00118,PISTON 18G - 11630 - 21 1ST OVER SIZE,PC,MOTOR CYCLE SPARES,L3,0,"4,265.32",0.00
151,MC00119,PISTON RING 3TL - 11604 - 00,PC,MOTOR CYCLE SPARES,L3,0,"2,571.72",0.00
152,MC00120,PISTON RING 3TL - 11605 - 00 O/S,PC,MOTOR CYCLE SPARES,L3,0,"2,307.40",0.00
153,MC00121A,PISTON RING -5VLW1 - STD. YBR,PC,MOTOR CYCLE SPARES,L3,0,"2,370.00",0.00
154,MC00121B,PISTON RING - 13011-KYY-970,PC,MOTOR CYCLE SPARES,L3,0,900.00,0.00
155,MC00121C,PISTON RING 18G - 11601 - 00,PC,MOTOR CYCLE SPARES,L3,1,750.00,750.00
156,MC00122,PISTON RING 2N5 - 11601 - 10,PC,MOTOR CYCLE SPARES,L3,1,345.00,345.00
157,MC00123,PISTON RING 5T5E160300 YAMAHA CRUX,SET,MOTOR CYCLE SPARES,L3,0,"1,693.00",0.00
158,MC00124,PISTONI RING 2NS - 11601 - 20,SET,MOTOR CYCLE SPARES,L3,1,750.00,750.00
159,MC00125,PRIMARY DRIVE GEAR 3TL - 16150 -00,PC,MOTOR CYCLE SPARES,W1,0,0.00,0.00
160,MC00126,PRIMARY DRIVE GEAR 2JK- 16111 - 01,PC,MOTOR CYCLE SPARES,L3,1,609.50,609.50
161,MC00127,PROJECTOR 3JO - 22147 -00,PC,MOTOR CYCLE SPARES,L3,6,774.00,"4,644.00"
162,MC00128,PULSAR COIL 18G - 85580 -230,PC,MOTOR CYCLE SPARES,L3,4,774.00,"3,096.00"
163,MC00129A,PULSAR COIL  SOURCE,PC,MOTOR CYCLE SPARES,L3,0,"4,263.00",0.00
164,MC00129B,PUMP CABLE 18G - 26321 - 10,PC,MOTOR CYCLE SPARES,L3,1,999.46,999.46
165,MC00130,RACE BALL 93503 - 16010,PC,MOTOR CYCLE SPARES,L3,3,1.90,5.70
166,MC00131,RACE BALL COVER 1,PC,MOTOR CYCLE SPARES,L3,0,635.00,0.00
167,MC00132,RACE BALL COVER 2,PC,MOTOR CYCLE SPARES,L3,0,608.00,0.00
168,MC00133A,REAR FLASHER,PC,MOTOR CYCLE SPARES,L3,0,0.00,0.00
169,MC00133B,REAR FENDER - 5VLF161102 YBR,PC,MOTOR CYCLE SPARES,L3,0,"3,107.00",0.00
170,MC00133C,REAR FLASHER 5VLF2-YBR,PC,MOTOR CYCLE SPARES,L3,2,"2,124.08","4,248.16"
171,MC00134,REAR LEN,PC,MOTOR CYCLE SPARES,L3,1,"1,000.00","1,000.00"
172,MC00135,REAR LIGHT SCREW,PC,MOTOR CYCLE SPARES,L3,2,10.00,20.00
173,MC00136,REAR FOOT REST 120 - 27430-02,PC,MOTOR CYCLE SPARES,L3,1,728.71,728.71
174,MC00137,REAR HUB 10V - 253100- 98,PC,MOTOR CYCLE SPARES,L3,0,"4,400.00",0.00
175,MC00138,REAR SPOKES,PC,MOTOR CYCLE SPARES,L3,4,83.17,332.68
176,MC00139,REAR SPROCKET 47T,PC,MOTOR CYCLE SPARES,L3,0,"4,126.41",0.00
177,MC00140,REAR TUBE 410 X 18,PC,MOTOR CYCLE SPARES,L3,0,"1,662.05",0.00
178,MC00141A,REAR WHEEL RIM  1.85 - 18 94418 - 18171,PC,MOTOR CYCLE SPARES,L3,0,"6,467.00",0.00
179,MC00141B,REAR WHEEL SPACER,PC,MOTOR CYCLE SPARES,L3,2,250.00,500.00
180,MC00142,RECTIFIER,PC,MOTOR CYCLE SPARES,L3,3,270.00,810.00
181,MC00143,RECTIFIER  AND REGULATOR - 1RN - 81960-11,PC,MOTOR CYCLE SPARES,L3,1,300.00,300.00
182,MC00144,RETURN SPRING CLIP  - 90468 -26183,PC,MOTOR CYCLE SPARES,L3,2,61.18,122.36
183,MC00145,RIDING GLOVE,PAIR,MOTOR CYCLE SPARES,L3,0,250.00,0.00
184,MC00146,RIDING BOOT,PAIR,MOTOR CYCLE SPARES,L3,0,"4,176.00",0.00
185,MC00147,"RIDING SUIT, WATER PROOF WITH REFLECTOR",PAIR,MOTOR CYCLE SPARES,L3,0,"1,200.00",0.00
186,MC00148,RING SPANNER 8 X 9,PC,MOTOR CYCLE SPARES,L3,0,65.00,0.00
187,MC00149A,RING SPANNER 10 X 11,PC,MOTOR CYCLE SPARES,L3,0,90.00,0.00
188,MC00149B,RING SPANNER 12 X 13,PC,MOTOR CYCLE SPARES,L3,0,115.00,0.00
189,MC00150,ROTOR 2T526,PC,MOTOR CYCLE SPARES,L3,0,104.02,0.00
190,MC00151A,SCREW 509 - 25194 -10,PC,MOTOR CYCLE SPARES,L3,2,3.80,7.60
191,MC00151B,"SCREW, TAPPING 3J0 90167",PC,MOTOR CYCLE SPARES,L3,0,18.85,0.00
192,MC00152,SEAL GUARD 2A6 - 22151 - 00,PC,MOTOR CYCLE SPARES,L3,1,48.00,48.00
193,MC00153,SEAL GUARD FRAME 401 - 22128 - 01,PC,MOTOR CYCLE SPARES,L3,0,104.00,0.00
